75,5/29/2019,2000,149,0, ,0, ,0, ,14.8, ,62.2, ,77, ,55, ,2.3, ,232, ,68.4,
75,5/29/2019,2100,149,0, ,0, ,0, ,14.7, ,61.4, ,79, ,54.9, ,2.9, ,249, ,68.4,
75,5/29/2019,2200,149,0, ,0, ,0, ,15.1, ,60.5, ,84, ,55.6, ,3.7, ,189, ,68.3,
75,5/29/2019,2300,149,0, ,0, ,0, ,15, ,58.9, ,88, ,55.5, ,3.7, ,270, ,68.2,
75,5/29/2019,2400,149,0, ,0, ,0, ,14.9, ,59.3, ,87, ,55.3, ,3.9, ,188, ,68,
75,5/30/2019,0100,150,0, ,0, ,0, ,14.8, ,59.4, ,86, ,55.1, ,3.5, ,191, ,67.9,
75,5/30/2019,0200,150,0, ,0, ,0, ,14.6, ,59, ,86, ,54.7, ,2.7, ,139, ,67.7,
75,5/30/2019,0300,150,0, ,0, ,0, ,14.4, ,58.2, ,87, ,54.3, ,1.6, ,68, ,67.6,
75,5/30/2019,0400,150,0, ,0, ,0, ,14.4, ,58.6, ,85, ,54.2, ,2.1, ,137, ,67.5,
75,5/30/2019,0500,150,0, ,0, ,4, ,14.1, ,58.5, ,85, ,53.8, ,2.8, ,132, ,67.4,
75,5/30/2019,0600,150,0, ,0, ,63, ,14.1, ,58.7, ,83, ,53.7, ,2.7, ,141, ,67.3,
75,5/30/2019,0700,150,0, ,0, ,255, ,14.7, ,58.2, ,89, ,54.9, ,2.3, ,143, ,67.2,
75,5/30/2019,0800,150,0.01, ,0, ,702, ,14.8, ,59.6, ,85, ,55, ,3.2, ,172, ,67.1,
75,5/30/2019,0900,150,0.02, ,0, ,1511, ,14.9, ,63.5, ,75, ,55.3, ,3.8, ,238, ,67,
75,5/30/2019,1000,150,0.02, ,0, ,1809, ,15, ,66.5, ,68, ,55.5, ,4.1, ,288, ,67,
75,5/30/2019,1100,150,0.02, ,0, ,1939, ,15.4, ,70.1, ,61, ,56.1, ,4.4, ,300, ,67.2,
75,5/30/2019,1200,150,0.03, ,0, ,2090, ,15.8, ,72.9, ,57, ,56.9, ,5.4, ,300, ,67.4,
75,5/30/2019,1300,150,0.03, ,0, ,1984, ,16.3, ,73.5, ,58, ,57.7, ,6, ,297, ,67.8,
75,5/30/2019,1400,150,0.02, ,0, ,1561, ,16.1, ,73, ,58, ,57.3, ,6.9, ,299, ,68.2,
75,5/30/2019,1500,150,0.02, ,0, ,1479, ,15.6, ,69.5, ,63, ,56.5, ,6.8, ,298, ,68.6,
75,5/30/2019,1600,150,0.02, ,0, ,1345, ,15.3, ,70, ,61, ,55.9, ,5.4, ,283, ,69,
75,5/30/2019,1700,150,0.01, ,0, ,921, ,15.2, ,70.5, ,60, ,55.9, ,4.9, ,284, ,69.2,
75,5/30/2019,1800,150,0.01, ,0, ,464, ,15.2, ,68.7, ,63, ,55.7, ,4.6, ,280, ,69.4,
75,5/30/2019,1900,150,0, ,0, ,97, ,15.1, ,64.5, ,73, ,55.6, ,4.1, ,280, ,69.5,
